Location,Area_sqft,Bedrooms,Bathrooms,Floors,Material_Quality,Interior_Type,Parking,Balcony,Garden,Material_Cost,Labour_Cost,Finishing_Cost,Total_Cost
MVP Colony,2500,2,1,1,Basic,Luxury,Yes,Yes,Yes,3080000,1400000,1120000,5600000
Parawada,800,4,1,2,Premium,Luxury,No,Yes,Yes,1674200,761000,608800,3044000
Tagarapuvalasa,1000,3,1,1,Standard,Modern,Yes,Yes,No,1265000,575000,460000,2300000
Pendurthi,1000,1,4,1,Basic,Modern,Yes,No,Yes,1199000,545000,436000,2180000
Anandapuram,1800,2,4,1,Standard,Normal,No,Yes,No,1980000,900000,720000,3600000
Tagarapuvalasa,800,1,3,2,Basic,Normal,No,No,Yes,998800,454000,363200,1816000
Gajuwaka,1800,4,3,2,Premium,Normal,No,No,No,3215300,1461500,1169200,5846000
MVP Colony,1500,3,2,1,Standard,Modern,Yes,Yes,No,2200000,1000000,800000,4000000
Gajuwaka,1800,2,1,2,Standard,Normal,No,No,No,2453000,1115000,892000,4460000
Padmanabham,2500,4,4,2,Basic,Modern,Yes,No,Yes,2420000,1100000,880000,4400000
Gajuwaka,1200,2,3,1,Basic,Luxury,Yes,Yes,Yes,1601600,728000,582400,2912000
Padmanabham,800,1,1,1,Premium,Normal,No,No,Yes,1064800,484000,387200,1936000
Gajuwaka,2000,3,1,1,Basic,Luxury,Yes,Yes,Yes,2376000,1080000,864000,4320000
Madhurawada,1500,3,2,1,Standard,Normal,No,No,Yes,1952500,887500,710000,3550000
Anandapuram,2000,2,4,2,Basic,Luxury,Yes,No,Yes,2475000,1125000,900000,4500000
Gajuwaka,2500,1,1,1,Premium,Modern,Yes,Yes,No,4303750,1956250,1565000,7825000
Pendurthi,2000,3,1,1,Standard,Luxury,No,No,Yes,2640000,1200000,960000,4800000
Anandapuram,2500,2,1,2,Standard,Normal,No,No,Yes,3080000,1400000,1120000,5600000
Kothavalasa,1200,2,4,1,Premium,Modern,Yes,No,Yes,1878800,854000,683200,3416000
Kommadi,1200,4,2,1,Premium,Normal,Yes,No,No,1981100,900500,720400,3602000
Parawada,1500,2,3,1,Standard,Normal,Yes,No,Yes,1650000,750000,600000,3000000
Seethammadhara,2500,1,1,1,Basic,Luxury,No,Yes,Yes,2970000,1350000,1080000,5400000
Kommadi,2500,3,3,1,Premium,Luxury,Yes,Yes,No,4283125,1946875,1557500,7787500
Sabbavaram,1200,3,1,1,Premium,Modern,No,Yes,Yes,1768800,804000,643200,3216000
Anandapuram,2000,3,4,2,Standard,Modern,No,No,No,2585000,1175000,940000,4700000
Pendurthi,1500,4,4,1,Basic,Luxury,No,No,Yes,1716000,780000,624000,3120000
Sabbavaram,1200,1,3,1,Basic,Normal,No,Yes,No,950400,432000,345600,1728000
Rambilli,1200,4,1,1,Premium,Normal,No,Yes,Yes,1569700,713500,570800,2854000
Anandapuram,1000,3,3,2,Standard,Normal,Yes,Yes,No,1485000,675000,540000,2700000
Sabbavaram,2000,1,4,1,Basic,Luxury,Yes,No,Yes,2024000,920000,736000,3680000
Parawada,800,4,3,1,Basic,Luxury,No,No,No,908600,413000,330400,1652000
Bheemili,1800,4,2,2,Basic,Normal,Yes,Yes,No,1969000,895000,716000,3580000
Kothavalasa,2000,1,4,1,Premium,Luxury,Yes,Yes,Yes,3113000,1415000,1132000,5660000
Bheemili,1000,1,1,1,Standard,Luxury,No,Yes,Yes,1430000,650000,520000,2600000
Bheemili,2500,1,4,1,Standard,Normal,Yes,No,Yes,2915000,1325000,1060000,5300000
Kothavalasa,1800,3,2,1,Standard,Luxury,Yes,No,Yes,2222000,1010000,808000,4040000
Seethammadhara,1000,4,3,1,Basic,Modern,No,Yes,Yes,1221000,555000,444000,2220000
Kothavalasa,2000,2,1,1,Basic,Luxury,Yes,Yes,Yes,2024000,920000,736000,3680000
Padmanabham,1800,1,4,1,Premium,Luxury,No,No,Yes,2602050,1182750,946200,4731000
Madhurawada,1500,1,3,1,Standard,Luxury,No,No,No,2172500,987500,790000,3950000
Seethammadhara,1000,4,2,1,Basic,Normal,Yes,No,Yes,1221000,555000,444000,2220000
Bheemili,2500,2,4,2,Basic,Luxury,No,Yes,Yes,2805000,1275000,1020000,5100000
Anandapuram,2500,1,4,2,Basic,Normal,No,Yes,Yes,2530000,1150000,920000,4600000
Rambilli,2500,3,4,2,Standard,Luxury,Yes,Yes,No,2997500,1362500,1090000,5450000
Tagarapuvalasa,1500,4,4,2,Premium,Luxury,No,No,No,2666125,1211875,969500,4847500
Rambilli,1000,1,4,1,Standard,Modern,No,Yes,No,1045000,475000,380000,1900000
Padmanabham,1200,3,1,1,Premium,Normal,Yes,No,Yes,1679700,763500,610800,3054000
Pendurthi,800,3,4,2,Premium,Modern,Yes,Yes,No,1742400,792000,633600,3168000
Sabbavaram,1500,4,4,1,Basic,Luxury,Yes,Yes,Yes,1628000,740000,592000,2960000
Rambilli,1800,4,1,1,Premium,Modern,No,Yes,Yes,2437050,1107750,886200,4431000
Anandapuram,1500,2,4,1,Basic,Modern,Yes,No,No,1540000,700000,560000,2800000
Seethammadhara,2500,4,2,1,Standard,Luxury,No,No,No,3575000,1625000,1300000,6500000
Pendurthi,1500,3,3,1,Premium,Normal,Yes,No,No,2448875,1113125,890500,4452500
Parawada,800,2,1,1,Basic,Modern,No,Yes,No,743600,338000,270400,1352000
Padmanabham,1200,1,1,1,Standard,Normal,No,Yes,No,1122000,510000,408000,2040000
Kommadi,1000,2,1,1,Premium,Normal,No,Yes,No,1559250,708750,567000,2835000
Kommadi,800,4,2,1,Basic,Luxury,Yes,Yes,No,1124200,511000,408800,2044000
Atchutapuram,800,2,1,1,Basic,Modern,No,Yes,Yes,798600,363000,290400,1452000
MVP Colony,1200,3,2,1,Premium,Luxury,No,Yes,No,2413400,1097000,877600,4388000
Kommadi,1200,2,2,1,Standard,Normal,Yes,No,Yes,1551000,705000,564000,2820000
Kothavalasa,1000,3,4,1,Standard,Normal,No,Yes,No,990000,450000,360000,1800000
Madhurawada,1000,1,1,1,Basic,Modern,Yes,Yes,No,1232000,560000,448000,2240000
Padmanabham,1200,4,2,1,Standard,Normal,Yes,No,Yes,1287000,585000,468000,2340000
Parawada,1200,4,4,2,Standard,Luxury,No,No,No,1738000,790000,632000,3160000
Madhurawada,1000,3,2,1,Basic,Normal,No,Yes,No,1012000,460000,368000,1840000
Kothavalasa,2500,3,2,1,Premium,Normal,No,Yes,No,3341250,1518750,1215000,6075000
Gajuwaka,2000,4,3,1,Standard,Modern,No,Yes,No,2530000,1150000,920000,4600000
MVP Colony,1000,4,1,1,Standard,Modern,No,No,Yes,1485000,675000,540000,2700000
Madhurawada,1200,1,4,2,Basic,Luxury,No,No,No,1764400,802000,641600,3208000
Gajuwaka,2500,3,1,1,Basic,Luxury,Yes,Yes,No,2805000,1275000,1020000,5100000
Seethammadhara,1000,2,3,1,Premium,Normal,No,No,Yes,1837000,835000,668000,3340000
Pendurthi,1800,1,3,1,Premium,Luxury,No,Yes,Yes,3136650,1425750,1140600,5703000
